Set	Item	Addition	Subtraction	Disjuncitve Union	Intersection	Rotation	Completeness	Rules	mean	r.drop	b	a	Item Solution	Complete Item Code
7	121	0	1	1	0	0	1	3	0.66	0.59	-0.16	2.37	00001010101101000000	00001111110010000000,00000010111001000000,00001101001000100000,00000110010101000000,00000100101100100000,00000010111010000000,00001011110000100000,00000001011110000000,00001010101101000000
7	122	0	1	0	1	1	0	3	0.71	0.52	-0.38	1.94	11000001100100000000	01111110100000000000,11010110000100000000,01011000001000000000,10001110011100000000,10110100111000000000,10001010110100000000,11001111011000000000,11101110110000000000,11000001100100000000
7	123	0	1	0	1	0	1	3	0.76	0.63	-0.42	2.92	11111000000010000000	11101110000000100000,01100010000010000000,01101100000001000000,10111111000010000000,10101001000000100000,10100110000001000000,11111100000000100000,11110100000001000000,11111000000010000000
7	124	0	1	0	0	1	1	3	0.75	0.64	-0.39	2.83	00000000101001000101	00000000110001001111,00000000100100010010,00000000001100101101,00000000011100101100,00000000111001000100,00000000110100011000,00000000101000010111,00000000010100100010,00000000101001000101
7	125	0	0	1	1	1	0	3	0.52	0.59	0.23	2.72	10110010000000000110	11001100000000001110,11001001000000000111,00000011000000000110,11001110000000001010,11011101000000000011,00011011000000000010,11101000000000001110,01010001000000000110,10110010000000000110
7	126	0	0	1	1	0	1	3	0.77	0.66	-0.43	3.3	00001000010010000000	00001100111010000000,00000100011001000000,00001000011000010000,00001011011100010000,00000111001010000000,00001100001001000000,00001100110001000000,00000100010000010000,00001000010010000000
8	127	0	0	0	1	1	1	3	0.48	0.54	0.65	1.98	00001000011010000000	00001110110010000000,00000110100101000000,00000110001100100000,00001111111000100000,00001010110110000000,00001010101101000000,00001101100101000000,00001010001100100000,00001000011010000000
8	128	1	1	1	0	0	0	3	0.7	0.6	-0.11	1.87	11110101001100000000	10001100111100000000,00010110101000000000,10011010010100000000,01000011111000000000,00100110010000000000,01100101101000000000,10101110101100000000,01011011100000000000,11110101001100000000
8	129	1	1	0	1	0	0	3	0.8	0.66	-0.41	2.49	01101101000000001100	11001010000000001110,01010011000000000100,01001011000000001010,10100110000000000111,01101010000000000010,00101110000000000101,11101001000000001111,01110100000000000011,01101101000000001100
8	130	1	1	0	0	1	0	3	0.73	0.64	-0.15	2.18	00001000111100000011	00001101110000001100,00000100010100000110,00001001110100000011,00000111111000001100,00000100000100000110,00000011111100000011,00001010100100001100,00000010011000000110,00001000111100000011
8	131	1	1	0	0	0	1	3	0.67	0.5	-0.09	1.44	00000000101101000010	00000000100001001110,00000000011100011100,00000000111100100010,00000000000100101111,00000000110001001010,00000000110100010101,00000000001100010110,00000000100000100100,00000000101101000010
8	132	1	0	1	1	0	0	3	0.66	0.52	-0.05	1.48	00001111001100000001	00001100111000001001,00000110001000001100,00001110110000001000,00000110001100000110,00000001011000001110,00000111010100000110,00001010010100000011,00000101011000000001,00001111001100000001
8	133	1	0	1	0	1	0	3	0.69	0.64	0	2.11	11101001110100000000	10100110011100000000,01101100101100000000,11101010110100000000,01110011110100000000,00100110111000000000,01110101011100000000,11001110011100000000,00100111101100000000,11101001110100000000
8	134	1	0	1	0	0	1	3	0.71	0.61	-0.11	1.98	00000000001110001110	00000000110010001011,00000000011000011100,00000000101000101111,00000000001000100010,00000000110010000001,00000000111000010011,00000000000100011100,00000000001000100010,00000000001110001110
9	135	1	0	0	1	1	0	3	0.49	0.59	-0.13	1.68	10111110000001100000	11101100000001000000,01111101000000010000,10111100000001010000,10110101000010000000,11010110000010000000,11100100000010000000,11101111000001000000,01111110000000100000,10111110000001100000
9	136	1	0	0	1	0	1	3	0.5	0.69	-0.14	2.37	01001111000000000110	10101111000000001011,01110000000001001010,00100000000000101011,11100000000000101110,10111111000000000101,10100000000001001111,01100000000001000100,11000000000000100110,01001111000000000110
9	137	1	0	0	0	1	1	3	0.65	0.56	-0.77	1.65	00000001110100100000	00000100111000100000,00000010010010000000,00000001111001000000,00000001011001000000,00001000000100100000,00000100011110000000,00000100110010000000,00000010010101000000,00000001110100100000
9	138	0	1	1	1	0	0	3	0.51	0.66	-0.2	2.2	01101100000000001010	11101111000000001110,01111110000000000100,10011110000000001010,11100111000000000111,01001110000000000110,10100110000000000001,11011110000000001110,10111101000000000100,01101100000000001010
9	139	0	1	1	0	1	0	3	0.6	0.7	-0.48	2.63	10111101101100000000	11001110110000000000,10010100011000000000,00111010101000000000,10000111111000000000,00010010010100000000,00100101101100000000,11101111110000000000,11010010011100000000,10111101101100000000
9	140	0	1	1	0	0	1	3	0.37	0.48	0.35	1.27	11111011001000000000	11111110110000000000,00000101010000001111,00001011100000010000,00001110011100010000,11110011001000000000,00001101010100001111,00001110111000001111,00000101110000010000,11111011001000000000
9	141	0	1	0	1	1	0	3	0.6	0.73	-0.45	2.84	11000000000100000001	10010000110100001110,00110000011000000110,01100000010000001000,01100000110000000101,11000000110100000001,10010000110000000100,00110000000100000111,01100000011100000110,11000000000100000001
9	142	0	1	0	1	0	1	3	0.52	0.7	-0.2	2.5	00000000101000010100	00000000111100011110,00000000101001001101,00000000010100101100,00000000111000101111,00000000100000011111,00000000011001001111,00000000101101001110,00000000000100100101,00000000101000010100
10	143	0	1	0	0	1	1	3	0.71	0.37	-0.12	1.56	00000101000000101010	00001111000000101100,00001010000000010110,00000101000010000011,00001110000010000111,00001000000000101011,00000110000000011101,00000111000010001010,00000010000000010101,00000101000000101010
10	144	0	0	1	1	1	0	3	0.68	0.54	0.21	3.04	01001011001000000000	11101100110000000000,01110111011000000000,01101011001100000000,11101100011100000000,10110110101100000000,10101010110100000000,11001110100000000000,01000101010000000000,01001011001000000000
10	145	0	0	1	1	0	1	3	0.69	0.52	0.16	2.86	10100110000000100000	11101111000010000000,01111010000000100000,10011010000000001111,11001110000000100000,01101011000000001111,10101010000010000000,10011110000000001111,00110110000010000000,10100110000000100000
10	146	0	0	0	1	1	1	3	0.8	0.59	-0.04	3.63	00110000000000000100	10000000000000001111,00010000000001001010,00100000000000101010,11100000000000101110,11010000000000001011,10110000000001001010,11000000000001001110,10010000000000100101,00110000000000000100
10	147	1	1	1	0	0	0	3	0.69	0.34	-0.08	1.41	01010000010100001111	10100000111000001000,01100000011000000010,11000000100000001010,00110000011100001010,01110000000100000001,01000000011000001011,11100000111100001110,10110000101000000001,01010000010100001111
10	148	1	1	0	1	0	0	3	0.2	0.19	1.65	1.36	01101110000000000000	11111100000001000000,01100110000001010000,10011110000001000000,11010011000000010000,00011010000000010000,11001011000000010000,11100110000001000000,10001100000000100000,01101110000000000000
10	149	1	1	0	0	1	0	3	0.85	0.44	-0.45	2.16	00001110011000000001	00001010110000001100,00000100100100001000,00001110001100000100,00000101001100001111,00000110011000000110,00000111110000001001,00001110100100000011,00001110001100000010,00001110011000000001
10	150	1	1	0	0	0	1	3	0.65	0.33	0.05	1.4	00001111000001010100	00001111000000011100,11110000000000011000,00000000111000010100,00000000111000100011,00001111000001000010,11110000000001100001,11110000000000011110,00000000111001001010,00001111000001010100
1	151	1	1	1	1	0	0	4	0.53	0.4	0.43	1.51	10011010010100000001	11000110111100001111,00111000001100000000,11111110110000000000,01100101011000000111,00110010010000001101,01010111001000000101,11101000110100000101,01110010100000000011,10011010010100000001
1	152	1	1	1	0	1	0	4	0.6	0.47	0.27	1.93	00001111100100001011	11000110011100000110,10001000100000000011,01001110111100001001,01110001010100001100,00110010001100000110,01000011011000000011,11100110111000001110,11101001011100000111,00001111100100001011
1	153	1	1	1	0	0	1	4	0.64	0.39	0.03	1.44	01000111000001001110	10100110000001000011,10100110000010000100,00000000000000100111,11111100000001000111,11110110000010000000,00001010000000100111,01110011000010001100,00110100000000100010,01000111000001001110
1	154	1	1	0	1	1	0	4	0.67	0.64	0.22	4.05	11110100010000000011	11001111001100000010,00100000001100000001,11100000000000001000,10001100111000000001,00101110100000001000,10101100011000000100,01100110011100001100,10011101001100000110,11110100010000000011
1	155	1	1	0	1	0	1	4	0.64	0.51	0.21	2.44	01110010010100100000	11000110011101000000,00100110011100100000,11100000011100010000,01001110110000010000,00010110001100100000,01011000000001000000,00110111011100010000,01000101110101000000,01110010010100100000
2	156	1	1	0	0	1	1	4	0.49	0.64	-0.12	1.85	01100110010100000000	01100110011000000011,10010011100000000010,10011001111000000001,10010011001100001110,01101001100000001010,10011100101100000100,10011001010000000011,10011100000100000011,01100110010100000000
2	157	1	0	1	1	1	0	4	0.43	0.62	0.1	2.01	01111010010100000011	11000110011000000011,00111100001100001001,11110100010100001100,01101111111100000110,10000110000100000011,11100110111000001001,00111010011000001100,01001011001100000110,01111010010100000011
2	158	1	0	1	1	0	1	4	0.48	0.75	-0.03	3.78	11111101001000010000	10001100101010000000,00100110110000010000,10101010100001000000,01001100111100010000,00010010001101000000,01011110001110000000,11001110011101000000,00110011101010000000,11111101001000010000
2	159	1	0	0	1	1	1	4	0.5	0.63	-0.12	2.19	11100000100010000010	11000000001110001100,00010000100101001001,11010000000100100011,10000000111001001110,00010000101110001101,10010000101000101011,11000000100000101000,00100000111101000001,11100000100010000010
2	160	0	1	1	1	1	0	4	0.39	0.63	0.25	2.94	01010001100000001011	11001110110000000010,01001010011000000001,10001010101000001000,11100110110000001100,01001011100000000110,10100010010000000011,11011111101100001110,10000001001100000111,01010001100000001011
3	161	0	1	1	1	0	1	4	0.48	0.57	0.26	1.57	01010000101010000110	11000000011110001100,01110000001100101000,10110000001101000100,11000000001001001110,00110000001010000100,11110000001000101010,11000000111100100111,10010000101001000001,01010000101010000110
3	162	0	1	1	0	1	1	4	0.42	0.56	0.48	1.74	10010011000001000011	11100111000010000101,01001110000001001000,10101101000000101101,11001100000001001100,01001001000000101001,10000011000010000101,11011100000000101110,01001001000010001101,10010011000001000011
3	163	0	1	0	1	1	1	4	0.53	0.73	0.17	3.35	00001100101000100000	00001000111110001100,00000001001101001000,00000010001100100100,00001110011100101111,00001101101101000111,00001011001110001000,00000011111001001110,00000110101110001110,00001100101000100000
3	164	0	0	1	1	1	1	4	0.34	0.45	0.87	1.28	11110100000100000100	11111000111000001110,00000001001000100101,00000010110000010100,00000010111100010011,11110100100100000111,00001000011000100011,00000001011000100100,00000010011100011111,11110100000100000100
3	165	1	1	1	1	0	0	4	0.41	0.54	0.53	1.55	01001010100000000010	01101100111100000101,10010011001000000111,11111111110100000101,01110101011100001100,01110010010100000110,00000111001000000100,11101000111000000011,10100010011000000110,01001010100000000010
4	166	1	1	1	0	1	0	4	0.35	0.41	0.76	2.01	11011011111000001000	01100110001100000111,00111001110000000011,10011111111100000100,11101010010100001010,01110110001000001000,10111100011100000010,01111100100000001110,10110111011000000110,11011011111000001000
4	167	1	1	1	0	0	1	4	0.57	0.57	0.21	2.67	10010100111100010000	00110110011000100000,11000110000110000000,11110000011100010000,11001111001110000000,01100111000000010000,10101000001100100000,01110101111010000000,11100001000100100000,10010100111100010000
4	168	1	1	0	1	1	0	4	0.62	0.59	0.09	2.95	11010110100000010000	01000110111001000000,00101100110000010000,00010100001001010000,11001011001101000000,01101110001100000000,00111010000001000000,01110111111000010000,10111110011000000000,11010110100000010000
4	169	1	1	0	1	0	1	4	0.66	0.66	0.05	3.86	11110100010100010000	01101110001101000000,10000110011000010000,11101000001000100000,01000011111000010000,00010011110101000000,01010000110000100000,11101110011101000000,00011010110100100000,11110100010100010000
4	170	1	1	0	0	1	1	4	0.62	0.7	0.18	5.16	00010011000001000011	01100001000001000111,00101000000010001011,01001001000001001101,11001010000001000010,11000100000001000001,00001110000010001000,01110010000001001100,01100001000010000110,00010011000001000011
5	171	1	0	1	1	1	0	4	0.38	0.53	0.63	2.06	10111100110000001101	11001100111000001100,10010110011000000010,01010011011000001110,10010111010100000101,00101011100100000010,10111101000100000111,11000011110000001100,01111001111100000001,10111100110000001101
5	172	1	0	1	1	0	1	4	0.51	0.65	0.26	2.68	11100000001000100100	01000000111001001100,00010000011000100011,01010000011010001111,11000000010110001110,00100000110100100011,11100000010101001101,10000000111110001100,01100000001001001000,11100000001000100100
5	173	1	0	0	1	1	1	4	0.59	0.71	0.05	3.13	10111011000000010100	10001000000010001100,00010110000000010110,00101110000001000100,11001100000001001110,10010011000000010111,00111111000010000110,11101000000010001111,11010011000001000100,10111011000000010100
5	174	0	1	1	1	1	0	4	0.53	0.7	0.22	3.12	00101101101000000110	11001110010100001110,10010100101000001100,00111010111100001100,11101100111000000101,11011000010100000011,10110100101100000001,10001111110000001111,00010010011000000110,00101101101000000110
5	175	0	1	1	1	0	1	4	0.46	0.66	0.42	3.17	01100000011010000110	11000000001110001110,01100000000100010100,10100000000100101010,10100000111010000101,00010000101000100001,10110000101000010100,11000000111000101110,10100000011100011000,01100000011010000110
6	176	0	1	1	0	1	1	4	0.58	0.61	0.01	2.22	10001101000001001000	11111110000001001100,10100101000000010110,01011011000000100011,11100110000000101101,01000011000001001110,10100101000000010111,11001100000000010010,01000001000000100001,10001101000001001000
6	177	0	1	0	1	1	1	4	0.55	0.58	0.07	1.97	10010000101000101100	11000000111101001110,10000000010100101101,01000000010100011011,11100000111000010100,11000000100000101000,00100000100001000001,11110000101101000011,01100000111000010110,10010000101000101100
6	178	0	0	1	1	1	1	4	0.55	0.66	0.15	3.03	01100000011100010110	11100000110010001100,10110000011000010110,10100000101001000011,11110000111000011101,01100000010101001110,01100000101110000111,11100000011001001001,01110000000110001100,01100000011100010110
6	179	1	1	1	1	0	0	4	0.53	0.62	0.17	2.65	00100100010000001111	11000110001000001000,11000110001000000101,00000110000000001101,01111011111100000111,10110101001100001000,11000001110000001111,01111100111000000011,01010110101000001100,00100100010000001111
6	180	1	1	1	0	1	0	4	0.53	0.62	0.18	2.44	11001011110100100000	10100110001101000000,10001001100100010000,00101111110001010000,11101010100000100000,01100110010001000000,10001100001001100000,11110111011100100000,00111100101100000000,11001011110100100000
7	181	1	1	1	0	0	1	4	0.56	0.48	0.06	1.77	01010000110100100000	01100100011001000000,10010100100100100000,11110000111100100000,10101110011000100000,01000110111001000000,11101000100000100000,01001011001101000000,00011011111000100000,01010000110100100000
7	182	1	1	0	1	1	0	4	0.46	0.54	0.37	2.52	11010010001000000111	10000110001100001000,01001111001000000001,00100110000100001001,11001011111100001110,01101110101000000001,00111010010100001111,01110011111000000001,10111110110000000110,11010010001000000111
7	183	1	1	0	1	0	1	4	0.66	0.66	-0.09	3.24	00000001000001001110	11000110000000101000,01100110000000010001,01000000000001001001,11101010000001000110,01100010000000100001,01101000000000010111,01010111000000101010,10100110000000010100,00000001000001001110
7	184	1	1	0	0	1	1	4	0.58	0.51	0.04	2.02	10011011000100010000	11001000001100100000,01100010000101000000,00111010001000010000,00110110110001000000,10011001110000010000,11001111000000100000,01100011011101000000,00111000011000100000,10011011000100010000
7	185	1	0	1	1	1	0	4	0.42	0.58	0.46	3.68	10111110100000000101	10011100110000000111,00110010100100001010,10101110001100000010,11001010111000001100,10010001110100000110,01011011101100000100,11101000001000001101,01010110010000000101,10111110100000000101
8	186	1	0	1	1	0	1	4	0.63	0.57	0.16	1.77	10100100110101000000	11001100100001000000,01100111010000100000,10100100110010000000,10111011011110000000,00111101100001000000,10001001111100100000,11111111010000100000,01010100100110000000,10100100110101000000
8	187	1	0	0	1	1	1	4	0.63	0.6	0.2	2.12	01100011101101000000	11001010101010000000,10010001010101000000,10001011101000010000,11111100110001000000,01100010100100010000,01101110001110000000,11100001111000010000,01110010110110000000,01100011101101000000
8	188	0	1	1	1	1	0	4	0.63	0.65	0.24	2.49	10100010111100000110	11111100111000001011,10011001010000001110,01100011101000001010,11000111011100001100,01001110101000000100,10001101110100000100,11101000110000000111,01000001001100000110,10100010111100000110
8	189	0	1	1	1	0	1	4	0.66	0.72	0.2	3.35	10001010000000100101	11001110000000011111,01110100000000101010,01001010000001000101,11100111000000101100,01111010000001001000,01101101000000010100,11001100000001000111,10010110000000010010,10001010000000100101
8	190	0	1	1	0	1	1	4	0.62	0.71	0.35	3.62	10010011000010000010	11100011000010001110,01010110000000100100,10111100000000011010,11001110000000010111,01101101000010000011,10101011000000100100,11001100000000101010,01011001000000011000,10010011000010000010
9	191	0	1	0	1	1	1	4	0.44	0.72	0.05	3.08	00100000001001000110	11110000101110000100,01110000001101001000,10001111001100000001,01100000101001001010,01101111111000000101,00000000101010001010,10111111001000001001,10010000111010000011,00100000001001000110
9	192	0	0	1	1	1	1	4	0.44	0.69	0.04	2.85	00111001110001000000	11001100111010000000,01101001010001000000,10100011010000100000,11101110111001000000,00111101101100100000,11011011101010000000,11000110111000100000,11111100110010000000,00111001110001000000
9	193	1	1	1	1	0	0	4	0.38	0.64	0.24	2.41	01010010101100000100	11001100011000000011,01100110100000000011,10100100111000000000,01111110001100001100,10000111110000001000,11110110111100000100,01101010101000000111,00110110000100000011,01010010101100000100
9	194	1	1	1	0	1	0	4	0.29	0.52	0.6	1.78	11110011110100001010	11000110111000000011,00100110101000001001,11100000010000001100,00111110001100001000,01001010111100000100,01110100110000000010,11000111011100001010,00110100101000000101,11110011110100001010
9	195	1	1	1	0	0	1	4	0.36	0.65	0.31	2.69	10101110110000010000	01100100001101000000,10010011000110000000,11110111001000010000,11101100111010000000,01110011011000010000,10011111100001000000,01101000111110000000,11000110001101000000,10101110110000010000
10	196	1	1	0	1	1	0	4	0.7	0.56	0.17	3.3	00010000110100000001	11000110001100000110,01001110110000000011,10000110111100001001,11111111001100000010,11111100010000000001,00001100011100001000,01111111110000000100,01100000000100000010,00010000110100000001
10	197	1	1	0	1	0	1	4	0.68	0.5	0.19	2.86	00101100110000010000	11001100000100100000,11100010000100010000,11001110000000010000,10100101101000010000,11100010001000010000,10100111100000100000,00111000111000100000,01100100001000010000,00101100110000010000
10	198	1	1	0	0	1	1	4	0.42	0.24	0.88	1.08	10100000001001000100	11000000100101000100,00010000000100101000,11010000100001000001,01010000011000100010,00100000001001000100,01110000010000101000,10000000011100100001,00100000010100100010,10100000001001000100
10	199	1	0	1	1	1	0	4	0.74	0.63	0.18	5.08	11100100100000000100	10001100110000001000,01100110110100000001,11100100000100000010,10011011011100000100,00101010111000001000,10111010100100000001,11001111110000000001,00100100010000000010,11100100100000000100
10	200	1	0	1	1	0	1	4	0.62	0.51	0.35	3.46	10111111010000100000	11101100111101000000,11110010010100100000,00011110010100010000,11001000110001000000,01100010011100010000,10101010010000100000,01001100110000010000,11110011011001000000,10111111010000100000
1	201	1	1	1	1	1	0	5	0.31	0.35	1.11	1.74	00001010101101000110	10010110110001011110,00011000001101000111,10001110111101001011,11100011101001001001,01101100001100011100,10001111100100000110,11111000011001001001,11110010110101001100,00001010101101000110
1	202	1	1	1	1	0	1	5	0.55	0.5	0.44	2.58	00100100111100011100	11000110110001001100,01110010001000100011,01000100111000011111,11001111001100010110,11010011010001001010,11001100011100101100,01101110110001000111,00111010001100101011,00100100111100011100
2	203	1	1	1	0	1	1	5	0.38	0.66	0.27	3.74	11100001010000011000	11000110010001001000,00010011001000101000,11010101000100010000,00011010001001000101,01000110000100010001,01011100100000100100,10001110000100101010,01101111100001000010,11100001010000011000
2	204	1	1	0	1	1	1	5	0.36	0.64	0.31	3.82	10011010100001000101	00100110010000101000,00010110010000010001,10000110000001001001,00011100110000010011,10000011010000100100,01000000100001000111,01101110101000100001,00111010001000010100,10011010100001000101
3	205	1	0	1	1	1	1	5	0.46	0.7	0.4	3.4	10100011001000101010	11000110010001001001,00111001001000100011,11110000000101001010,01101100000100100101,10001001100001000010,11101000010001000111,10000011100001001100,00101011010001000110,10100011001000101010
3	206	0	1	1	1	1	1	5	0.37	0.6	0.65	2.81	10000101010100100100	11000110101001000100,01001100111000100010,10001010101000010001,01110111001100010010,01110011110001000001,00000100000000101000,10101100011101000001,00101001110100011000,10000101010100100100
4	207	1	1	1	1	1	0	5	0.45	0.56	0.49	4	11001011100001100011	11000110100001001100,01001001010000010110,10001111001001010100,01100011010000010110,01100110001000001100,00000101000100010100,11111100001000100111,00110111000101000011,11001011100001100011
4	208	1	1	1	1	0	1	5	0.44	0.55	0.5	3.63	01010010011110000100	11000110110001000101,11001010000110000100,00000010110100100001,01110111011010001110,11000011000101001010,10110011011100100100,01101110001101001101,00110011010000101001,01010010011110000100
5	209	1	1	1	0	1	1	5	0.31	0.53	0.8	2.6	11011011111101001000	11001110101001001000,01000101011010000001,10001011111000010010,01110110001100010100,00111010010101001000,01001100011110000001,11110111101110000010,00101100110000010100,11011011111101001000
5	210	1	1	0	1	1	1	5	0.42	0.63	0.53	3.43	11000011001100011010	10101100110000101010,01000100011001001110,11101000001100011010,00110111001100100101,11100011100101001111,11110100110000010101,10001111110000101110,01001100011001001011,11000011001100011010
6	211	1	0	1	1	1	1	5	0.48	0.61	0.33	2.91	11111001100000100011	10001100100001000011,00010100010000101010,10011000001000010010,01000101000100100100,00100101100001001110,01100000010000010100,11001110001001000011,00110111000100010111,11111001100000100011
6	212	0	1	1	1	1	1	5	0.45	0.59	0.39	3.02	10100000011000101100	11000110001100101100,11001110100101001100,00000110110010000000,10101010110001000011,10010110011010000010,00110010001100100001,01100011100110001110,11001100110001000010,10100000011000101100
7	213	1	1	1	1	1	0	5	0.23	0.43	0.91	3.18	01110100101101001001	10101111101001001110,01011100001001010111,11110011100001001011,01101110011100100101,10000110011001001010,11101000000100000101,01011100111001000110,00101000010101100011,01110100101101001001
7	214	1	1	1	1	0	1	5	0.39	0.59	0.52	4.48	10010100000101001111	10101111100101001100,01100110001100100010,11001001000100011110,00110111011000010011,01100010111001001010,01010101011000101011,11101100001100101010,01111000100100010101,10010100000101001111
8	215	1	1	1	0	1	1	5	0.34	0.42	1.09	1.89	10111001111110000010	10101111101010001000,11011010001001000100,01110101101000100010,11001111010100100010,10110101001010000001,01111010011101001000,10011111001101001000,00100110110000100100,10111001111110000010
8	216	1	1	0	1	1	1	5	0.47	0.57	0.69	2.49	11100100101001001110	11101111111100101001,01111111011001000001,10111111100110001001,10111010001101000110,11010101001010000011,11100000000100100111,10111100111010001100,11010110010000101010,11100100101001001110
9	217	1	0	1	1	1	1	5	0.29	0.59	0.5	2.97	10010010111001001101	11001010101000011100,01100111011001000100,00110010110000101100,00111110111001000011,10010110011100100101,11000110100100010111,01100011010000101001,00110110101000010100,10010010111001001101
9	218	0	1	1	1	1	1	5	0.29	0.62	0.5	3.63	10000111010000000110	11101010101010001100,01100100101100001001,10001110101001000011,01010101010000000011,01001110001101000110,00011011000010001100,10101100110001001001,00101011011010000011,10000111010000000110
10	219	1	1	1	1	1	0	5	0.5	0.5	0.58	4.04	00100100101001101000	10001011101001001110,01000011011000010110,00100011110001011000,00100110100110000011,00011010110010000000,10000010010110000011,10000101011000101010,01000110110001000010,00100100101001101000
10	220	1	1	1	1	0	1	5	0.06	0.13	2.41	1.63	10001110101000011000	10101100110000100001,00100110001101000011,10001110111100010001,01100101100000100010,01000010001001001010,00100111101000010010,10011010100100101001,00010100001101001100,10001110101000011000
